nohup: ignoring input
path ./data/gigaspeech/train.txt
path ./data/gigaspeech/valid.txt
path ./data/gigaspeech/test.txt
Vocabulary Size:  27710
Total number of model parameters: 11.75M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  9.32 | loss  6.84 | ppl   935.18
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.02 | loss  6.05 | ppl   422.54
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  7.10 | loss  5.84 | ppl   342.54
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.35 | loss  5.63 | ppl   279.65
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.94 | loss  5.51 | ppl   246.87
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  7.09 | loss  5.50 | ppl   245.71
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  7.12 | loss  5.47 | ppl   238.46
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  7.09 | loss  5.45 | ppl   232.34
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  8.22 | loss  5.41 | ppl   224.67
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  8.73 | loss  5.38 | ppl   217.70
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  8.67 | loss  5.33 | ppl   206.40
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  8.00 | loss  5.33 | ppl   206.99
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  7.39 | loss  5.28 | ppl   196.13
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.43 | loss  5.28 | ppl   196.77
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  7.35 | loss  5.23 | ppl   186.54
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.64 | loss  5.30 | ppl   199.58
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  7.41 | loss  5.21 | ppl   183.34
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  7.31 | loss  5.16 | ppl   173.79
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  7.33 | loss  5.16 | ppl   174.37
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  7.45 | loss  5.14 | ppl   170.98
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.33 | loss  5.18 | ppl   177.33
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  7.31 | loss  5.18 | ppl   177.34
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.50 | loss  5.14 | ppl   171.24
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  7.38 | loss  5.13 | ppl   168.36
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  7.26 | loss  5.08 | ppl   161.35
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  8.57 | loss  5.11 | ppl   164.86
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  9.23 | loss  5.12 | ppl   168.11
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  9.38 | loss  5.14 | ppl   170.56
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  9.34 | loss  5.06 | ppl   157.77
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  9.22 | loss  5.05 | ppl   155.76
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  9.34 | loss  5.06 | ppl   157.74
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 127.33s | valid loss  5.21 | valid ppl   182.98
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  9.43 | loss  5.10 | ppl   163.90
